	ID_31;;pilot3_lane7	ID_15;;pilot3_lane4	ID_14;;pilot3_lane4	ID_3;;pilot3_lane1	ID_38;;pilot3_lane8	ID_25;;pilot3_lane6	ID_26;;pilot3_lane6	ID_27;;pilot3_lane6	ID_32;;pilot3_lane7	ID_5;;pilot3_lane1	ID_19;;pilot3_lane5	ID_33;;pilot3_lane7	ID_35;;pilot3_lane7	ID_28;;pilot3_lane6	ID_9;;pilot3_lane2	ID_37;;pilot3_lane8	ID_8;;pilot3_lane2	ID_7;;pilot3_lane2	ID_10;;pilot3_lane3	ID_34;;pilot3_lane7	ID_30;;pilot3_lane7	ID_4;;pilot3_lane1	ID_36;;pilot3_lane8	ID_17;;pilot3_lane4	ID_11;;pilot3_lane3	ID_23;;pilot3_lane5	ID_40;;pilot3_lane8	ID_12;;pilot3_lane3	ID_22;;pilot3_lane5	ID_39;;pilot3_lane8	ID_21;;pilot3_lane5	ID_13;;pilot3_lane4	ID_2;;pilot3_lane1	ID_16;;pilot3_lane4	ID_29;;pilot3_lane6	ID_20;;pilot3_lane5	ID_1;;pilot3_lane1	ID_6;;pilot3_lane1	ID_18;;pilot3_lane4	ID_24;;pilot3_lane5
MRFAP1	0.111100275384993	0.289986174892582	0.08202221498766	0	0.149754306047401	0.109515700742048	0.134735380718663	0.0984175041113622	0.13607197356486	0.0963600193900267	0.249724819652099	0.257618169841206	0.110576988496145	0.156091599753855	0.178401124169108	0.19225921667417	0.075537414510793	0.278611699898733	0.106954110235919	0.222957107898329	0.0208637073308746	0.170467125847019	0.289553447533986	0.388718648579336	0.164318497265038	0.150941348716282	0.450038604374699	0.161411908732174	0.325113245346669	0.218520841163201	0.227273379187106	0.138782925079895	0.12620377590434	0	0.220007541642868	0.1253859428409	0.156560014481605	0.150208537119671	0	0
ANXA1	0	0.0491482067964991	0.0614080515117342	0.0341657392304172	0.123541230838539	0.101964874996882	0.0907154312070762	0	0.0490368075399582	0.203206173379425	0.0860057400099572	0.0508255756339981	0.27305047401416	0	0.021075819157573	0.0195138423339895	0.0586638879510401	0	0.0220884476584348	0.0555737881149173	0	0.057805440482612	0.0633056215228794	0.0632858181090892	0	0.037267848760845	0.12952392740186	0	0.0965388149305029	0.0544217553100619	0.114613071597527	0.120122533812866	0.102383707806365	0.149255176427087	0	0.0860648370484742	0.0210856953825264	0	0.0805568520673786	0
SERINC1	0.156148429705669	0	0.0855445611674594	0	0.0940134690452508	0.0713725835343121	0.0322943897045963	0.179081804506049	0.0605050257517947	0	0.101386755308475	0.0508255756339981	0.109333151447392	0	0.182970245370852	0.143781707539744	0.0987927122475276	0.028628723651433	0.12654893991302	0.0988001415255403	0.157830739285004	0.0585389219373852	0.152145108146771	0.115531584835352	0.0623792076293485	0.121246245357391	0	0.0806224251729787	0.0759912642027059	0.110610768958854	0.0802176145939757	0.0634308640350759	0.0616353039042637	0.149255176427087	0.169048644858631	0.0319285898709654	0.0997285292373698	0.135715974125415	0.1758869264026	0
RPL39	3.38747720590318	3.47233519541065	3.44458983426184	3.62714544027865	3.62527265833391	3.55765679164675	3.40397977517446	3.65816369324844	3.46838185316168	3.60361113473069	3.48387055555999	3.80649634823933	3.58420202615191	3.19046144932544	3.38832807670608	3.41280321634763	3.77902640039795	3.49127448153107	3.60690109408181	3.68402054515246	3.70709871085226	3.77706977328196	3.43284265079865	3.62984631473693	3.624602143173	3.36399358773467	3.23851785756494	3.45413768630101	3.5599675528637	3.45086683781775	3.34417527259165	3.73836661430939	3.50605512672566	3.76742652215245	3.32374328576185	3.49940872563107	3.52191802060819	3.60541476373947	3.62880387119257	3.27055888622847
THAP6	0.110198535460276	0	0	0.0732936787640161	0.0409014837661151	0.052577411034322	0.0331581235242061	0.0588082499050883	0	0	0	0	0.110576988496145	0.348535111626643	0.0585551007830704	0.0324668271871885	0.027736224613495	0.028628723651433	0	0.0760342739897939	0	0.116344362419997	0.0455968792328373	0.0632858181090892	0.106602693527353	0.0800141037618129	0	0	0	0	0.0398178532040186	0.0317371179217241	0.0380289713368142	0	0	0.0456795094546877	0	0	0	0
RIOK2	0	0.0536771415963889	0	0.050198663513523	0.0417677473389852	0	0.0761720810687544	0.0588082499050883	0.0661703654158093	0.061884169207167	0.0708497791383851	0.0683562777681918	0	0	0.0454926174321527	0.0248514883458522	0.059460669007871	0.0682334369217156	0	0	0	0.0426057857407736	0.0399876951098508	0.133820892592273	0.0544883941149578	0.0838473228442131	0	0	0.083574309614058	0	0	0.0798147295815642	0	0.208809834763539	0.169048644858631	0.0380193764366101	0.0883833400998299	0	0	0
STK10	0.110186053762545	0.178672532644547	0	0.0997476697173949	0.0640680185406791	0	0.0371469598603498	0.0875900317313341	0.0830211737962144	0	0.118045039217072	0.180278356345979	0.130674151432943	0	0.0707436840988888	0.188250782815836	0.0699781522738847	0.0829332186801062	0.135365182152813	0.126834289709151	0.047126463303372	0.101813806369508	0.0401278338277423	0.240997020197358	0.0679151150441819	0.0470034449259949	0.0549910450781565	0.121807096562826	0.114749154109321	0	0.062789469068291	0.152184199963983	0.180088948612368	0.122818199701544	0	0.219121523646069	0.0555263768027457	0.233943996698278	0	0.280246345179146
RNF11	0	0.137956269010693	0.0614080515117342	0.193478993502207	0.0296227978697973	0.138055658842968	0	0	0	0.0615602304777667	0.0707238182724444	0	0.177389023418582	0.156091599753855	0.0159528439928031	0.0824197404696594	0.0227232772346549	0	0.0598816554823761	0	0.135667875087068	0	0.0738309892059059	0	0.042581649024345	0.0123698814629098	0.0549910450781565	0	0.145475598826157	0.0346173772005741	0.0581695722144926	0.0991552902631885	0.158220839241704	0	0.125305121682262	0.0456795094546877	0.0210856953825264	0.14660242797626	0	0
MAP3K1	0.0822133258081793	0.101817998157282	0.247423627297788	0.0341657392304172	0.111743750987755	0.0251617504890915	0.0388160492453265	0.174992208967721	0.165849191507283	0	0.0736967574698787	0.158844280480306	0	0	0.109317451956135	0.100967086543705	0.0429284416940295	0.0657051348853049	0.0720497247510105	0.0508000157193566	0	0.0532001083952261	0.0806675521744639	0.0632858181090892	0.189571733222643	0.0842712936868399	0.133555076417815	0.0328234136025094	0	0.0379374609951461	0.030297107594325	0.0253953188964642	0.0679948491855737	0.168614230414202	0.148407082137798	0.0319285898709654	0.336403536559279	0.262982923610106	0	0
BIN3	0.116736946318756	0.0408799718393054	0.219044605182872	0.0631595302279603	0.0458391138064306	0	0.0371469598603498	0.152870570730212	0.0413400579163757	0	0.12585119038848	0.0863698404328496	0.130674151432943	0.173794758277812	0.038334231549439	0.0974408449025194	0.0367483260676397	0.0450300712769418	0.0603584427435235	0	0.111968520255433	0.106235023074282	0.0615876388203389	0	0.0544883941149578	0.0402556405868613	0.147700373801698	0.0593155803940783	0	0.0320851188082994	0.0238181648519902	0.0737001976664493	0.0380289713368142	0.136652350576005	0.125305121682262	0	0.0873095305241606	0	0	0
