"gene"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"z.std"
"77"	"POLD2"	-0.0905237044632181	12.792954994892	-1.40622568696382	0.16087997517301	0.988021514168307	-4.8871417548652	-1.40211812602489
"78"	"ZFAND1"	-0.0785160246888044	12.7196283855467	-1.39792624918373	0.163333536132849	0.988021514168307	-5.00513235009666	-1.39394724439074
"79"	"NOL8"	0.0857147925069361	12.7689544658838	1.39366350292218	0.164616191593854	0.988021514168307	-4.92184461066417	1.38971251947781
"80"	"S100A6"	-0.102031564558991	13.6931635757602	-1.38847288566993	0.166188326238828	0.988021514168307	-4.8363372010254	-1.38455582752892
"81"	"RALGPS2"	-0.0923864880984868	12.8421941132997	-1.38757896145142	0.166482368380173	0.988021514168307	-4.8759979015111	-1.38359543019759
"82"	"ZCCHC17"	-0.069262574523683	12.6592468299622	-1.38660537694157	0.166756727048931	0.988021514168307	-5.10350518688407	-1.3827004722689
"83"	"EBP"	0.055045563969113	12.5848439380478	1.38536431177064	0.167135273670442	0.988021514168307	-5.27975513323692	1.38146746846867
"84"	"PDHA1"	-0.0709209021764824	12.6760287122712	-1.37688297772462	0.169757506526389	0.988021514168307	-5.08677504708938	-1.3729834025772
"85"	"CD2AP"	-0.0669805429771831	12.6752601926505	-1.36281503676588	0.174126769129132	0.988021514168307	-5.13651252519553	-1.35906254864069
"86"	"FCGR2B"	-0.0552533552596468	12.5919491256296	-1.34736101456847	0.179043746062499	0.988021514168307	-5.33099210003888	-1.34370516625453
"87"	"TP53BP2"	-0.0647425087169823	12.6518973823787	-1.33855462118994	0.181891723863255	0.988021514168307	-5.19232530516509	-1.33495301763962
"88"	"BOP1"	0.0561408056178081	12.5913487485702	1.3306276032795	0.184484099310267	0.988021514168307	-5.31590526919769	1.32707431960331
"89"	"PLP2"	0.091881939716839	13.674906968512	1.3171093906793	0.188992181473289	0.988021514168307	-4.91161323359247	1.31356634243412
"90"	"CCNL1"	0.0983341057148345	13.1750931902039	1.31070861536779	0.191119452638032	0.988021514168307	-4.88176346365088	1.307274643601
"91"	"CACYBP"	-0.0898718821538751	12.8667522427256	-1.30300248530534	0.193733343200638	0.988021514168307	-4.96672004644492	-1.29961387086703
"92"	"LTB"	-0.0901285758923727	13.8596302951989	-1.30151713820096	0.194259135072523	0.988021514168307	-4.9863601311339	-1.29808206938064
"93"	"PHF6"	-0.0699636075883502	12.6964120646952	-1.30148437525767	0.194267378853492	0.988021514168307	-5.15156885480531	-1.29805807682971
"94"	"MNDA"	-0.0547770086970935	12.6038512702831	-1.29373461624906	0.196928794960125	0.988021514168307	-5.34856290109459	-1.29035106325013
"95"	"HDAC6"	-0.0468844964696683	12.5524037757481	-1.28943037099071	0.198400988214983	0.988021514168307	-5.49585423567234	-1.2861205644076
"96"	"IFI6"	-0.0585797335981247	12.6211301617976	-1.27926414968096	0.201951106684636	0.988021514168307	-5.35440794180939	-1.27601248225982
"97"	"AL662844.4"	-0.0594515969854095	12.6251169098093	-1.27789754155834	0.202431865609278	0.988021514168307	-5.31432890574904	-1.27465363168494
"98"	"TOR1AIP2"	0.0610930126240238	12.6487524405831	1.27645563462024	0.202940022739523	0.988021514168307	-5.26787069791064	1.27321989490328
"99"	"PUM3"	0.0762943680496143	12.7656062988633	1.27284330010049	0.204217184278529	0.988021514168307	-5.07404998617313	1.26962796192389
"100"	"TGOLN2"	-0.0816290643116124	12.8253023152685	-1.25122635361264	0.212001113080787	0.988021514168307	-5.04603552088257	-1.24808177136635
"101"	"THAP1"	0.0561833117115502	12.622740350487	1.25000379895355	0.212450621828128	0.988021514168307	-5.36071854513443	1.24685512965392
"102"	"ANXA2R"	-0.0570345009143963	12.623498811725	-1.24849950003508	0.212988141383057	0.988021514168307	-5.35247059395478	-1.2453907783139
"103"	"TFEC"	0.0593532641837426	12.621601889379	1.24515911601222	0.214219924599119	0.988021514168307	-5.33836425153953	1.24204509437462
"104"	"TSC22D3"	-0.101411721538839	13.2046933224431	-1.24101636736003	0.215724701873376	0.988021514168307	-4.95590373796512	-1.23797669605509
"105"	"ZNF326"	-0.0641221535404397	12.6849364722003	-1.24056995758527	0.21590232172213	0.988021514168307	-5.24731641099403	-1.23749782388418
"106"	"HIPK1"	0.0485996599859448	12.5754202585318	1.24050257046551	0.215914249767791	0.988021514168307	-5.47809839639818	1.23746567543223
"107"	"CGAS"	0.067146431550284	12.6920611062395	1.23696100704511	0.217224071258049	0.988021514168307	-5.21714083183717	1.23394319761128
"108"	"C8orf33"	0.0861697267282307	12.8652051003006	1.23534325108833	0.217839838928917	0.988021514168307	-5.04069600696917	1.23229250400626
"109"	"AP3B1"	0.0591607489995022	12.6412377295286	1.22793140524574	0.220589593091102	0.988021514168307	-5.32284527707134	1.22496185467952
